"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|CZ","Without Sequence","99.00","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|CZ","Without Sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|CZ","Without Sequence","88.00","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|CZ","Without Sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|CZ","Without Sequence","79.87","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|CZ","Without Sequence","84.08","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|CZ","Without Sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|CZ","Without Sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|CZ","Without Sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|CZ","Without Sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|CZ","Without Sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|CZ","Without Sequence","74.90","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|CZ","Without Sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|CZ","Without Sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|CZ","Without Sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|CZ","Without Sequence","87.17","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|CZ","Without Sequence","89.18","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|CZ","Without Sequence","88.66","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|CZ","Without Sequence","84.81","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|CZ","Without Sequence","84.34","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|CZ","Without Sequence","88.01","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|CZ","Without Sequence","93.42","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|CZ","Without Sequence","101.77","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|CZ","Without Sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|CZ","Without Sequence","103.56","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|CZ","Without Sequence","100.50","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|CZ","Without Sequence","93.31","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|CZ","Without Sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|CZ","Without Sequence","83.86","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|CZ","Without Sequence","82.54","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|CZ","Without Sequence","83.07","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|CZ","Without Sequence","78.64","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|CZ","Without Sequence","75.97","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|CZ","Without Sequence","78.41","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|CZ","Without Sequence","82.10","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|CZ","Without Sequence","94.30","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|CZ","Without Sequence","111.16","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|CZ","Without Sequence","121.11","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|CZ","Without Sequence","117.83","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|CZ","Without Sequence","110.66","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|CZ","Without Sequence","103.02","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|CZ","Without Sequence","95.48","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|CZ","Without Sequence","92.84","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|CZ","Without Sequence","100.00","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|CZ","Without Sequence","107.98","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|CZ","Without Sequence","119.27","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|CZ","Without Sequence","129.83","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|CZ","Without Sequence","130.00","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|CZ","Without Sequence","122.06","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|CZ","Without Sequence","114.19","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|CZ","Without Sequence","102.80","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|CZ","Without Sequence","99.96","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|CZ","Without Sequence","91.49","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|CZ","Without Sequence","87.67","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|CZ","Without Sequence","86.54","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|CZ","Without Sequence","85.00","",""
"09/01/2024 03:00:00 - 09/01/2024 04:00:00","BZN|CZ","Without Sequence","84.11","",""
"09/01/2024 04:00:00 - 09/01/2024 05:00:00","BZN|CZ","Without Sequence","85.28","",""
"09/01/2024 05:00:00 - 09/01/2024 06:00:00","BZN|CZ","Without Sequence","89.43","",""
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","BZN|CZ","Without Sequence","107.70","",""
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","BZN|CZ","Without Sequence","122.48","",""
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","BZN|CZ","Without Sequence","132.89","",""
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","BZN|CZ","Without Sequence","120.87","",""
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","BZN|CZ","Without Sequence","112.52","",""
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","BZN|CZ","Without Sequence","105.14","",""
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","BZN|CZ","Without Sequence","99.64","",""
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","BZN|CZ","Without Sequence","100.21","",""
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","BZN|CZ","Without Sequence","110.47","",""
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","BZN|CZ","Without Sequence","119.00","",""
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","BZN|CZ","Without Sequence","127.84","",""
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","BZN|CZ","Without Sequence","137.79","",""
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","BZN|CZ","Without Sequence","137.56","",""
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","BZN|CZ","Without Sequence","130.23","",""
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","BZN|CZ","Without Sequence","119.91","",""
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","BZN|CZ","Without Sequence","111.61","",""
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","BZN|CZ","Without Sequence","105.68","",""
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","BZN|CZ","Without Sequence","96.74","",""
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","BZN|CZ","Without Sequence","89.04","",""
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","BZN|CZ","Without Sequence","86.76","",""
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","BZN|CZ","Without Sequence","86.73","",""
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","BZN|CZ","Without Sequence","85.89","",""
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","BZN|CZ","Without Sequence","86.95","",""
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","BZN|CZ","Without Sequence","90.05","",""
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","BZN|CZ","Without Sequence","109.73","",""
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","BZN|CZ","Without Sequence","127.00","",""
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","BZN|CZ","Without Sequence","141.27","",""
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","BZN|CZ","Without Sequence","130.39","",""
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","BZN|CZ","Without Sequence","118.65","",""
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","BZN|CZ","Without Sequence","109.13","",""
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","BZN|CZ","Without Sequence","101.81","",""
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","BZN|CZ","Without Sequence","106.47","",""
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","BZN|CZ","Without Sequence","113.64","",""
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","BZN|CZ","Without Sequence","124.39","",""
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","BZN|CZ","Without Sequence","135.22","",""
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","BZN|CZ","Without Sequence","143.79","",""
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","BZN|CZ","Without Sequence","140.00","",""
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","BZN|CZ","Without Sequence","132.15","",""
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","BZN|CZ","Without Sequence","120.00","",""
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","BZN|CZ","Without Sequence","109.50","",""
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","BZN|CZ","Without Sequence","104.45","",""
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","BZN|CZ","Without Sequence","95.79","",""
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","BZN|CZ","Without Sequence","91.75","",""
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","BZN|CZ","Without Sequence","88.59","",""
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","BZN|CZ","Without Sequence","87.25","",""
